# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Fri Nov 21 12:41:12 2014
#
# Level,Ch,Index,m:s.ms.us,Len,Err,Bitrate,ID,Record,DLC,Data
0,A,199,0:12.798.072,1 B,,250 KHz,002,Data Frame,1,C2
0,A,200,0:12.798.304,1 B,,250 KHz,002,Data Frame,1,C3
0,A,201,0:12.798.536,1 B,,250 KHz,002,Data Frame,1,C4
0,A,202,0:12.798.773,1 B,,250 KHz,002,Data Frame,1,C5
0,A,203,0:12.799.089,1 B,,250 KHz,002,Data Frame,1,C6
0,A,204,0:12.799.321,1 B,,250 KHz,002,Data Frame,1,C7
0,A,205,0:12.799.557,1 B,,250 KHz,002,Data Frame,1,C8
0,A,206,0:12.799.790,1 B,,250 KHz,002,Data Frame,1,C9
0,A,207,0:12.800.026,1 B,,250 KHz,002,Data Frame,1,CA
0,A,208,0:12.800.258,1 B,,250 KHz,002,Data Frame,1,CB
0,A,209,0:12.800.490,1 B,,250 KHz,002,Data Frame,1,CC
0,A,210,0:12.800.722,1 B,,250 KHz,002,Data Frame,1,CD
0,A,211,0:12.800.967,1 B,,250 KHz,002,Data Frame,1,CE
0,A,212,0:12.801.207,1 B,,250 KHz,002,Data Frame,1,CF
0,A,213,0:12.802.519,1 B,,250 KHz,002,Data Frame,1,D0
0,A,214,0:12.802.751,1 B,,250 KHz,002,Data Frame,1,D1
0,A,215,0:12.802.988,1 B,,250 KHz,002,Data Frame,1,D2
0,A,216,0:12.803.224,1 B,,250 KHz,002,Data Frame,1,D3
0,A,217,0:12.803.456,1 B,,250 KHz,002,Data Frame,1,D4
0,A,218,0:12.803.688,1 B,,250 KHz,002,Data Frame,1,D5
0,A,219,0:12.803.992,1 B,,250 KHz,002,Data Frame,1,D6
0,A,220,0:12.804.225,1 B,,250 KHz,002,Data Frame,1,D7
0,A,221,0:12.804.457,1 B,,250 KHz,002,Data Frame,1,D8
0,A,222,0:12.804.693,1 B,,250 KHz,002,Data Frame,1,D9
0,A,223,0:12.804.929,1 B,,250 KHz,002,Data Frame,1,DA
0,A,224,0:12.805.162,1 B,,250 KHz,002,Data Frame,1,DB
0,A,225,0:12.805.394,1 B,,250 KHz,002,Data Frame,1,DC
0,A,226,0:12.805.626,1 B,,250 KHz,002,Data Frame,1,DD
0,A,227,0:12.805.858,1 B,,250 KHz,002,Data Frame,1,DE
0,A,228,0:12.806.099,1 B,,250 KHz,002,Data Frame,1,DF
0,A,229,0:12.806.791,1 B,,250 KHz,002,Data Frame,1,E0
0,A,230,0:12.807.027,1 B,,250 KHz,002,Data Frame,1,E1
0,A,231,0:12.807.263,1 B,,250 KHz,002,Data Frame,1,E2
0,A,232,0:12.807.499,1 B,,250 KHz,002,Data Frame,1,E3
0,A,233,0:12.807.736,1 B,,250 KHz,002,Data Frame,1,E4
0,A,234,0:12.807.968,1 B,,250 KHz,002,Data Frame,1,E5
0,A,235,0:12.808.268,1 B,,250 KHz,002,Data Frame,1,E6
0,A,236,0:12.808.504,1 B,,250 KHz,002,Data Frame,1,E7
0,A,237,0:12.808.737,1 B,,250 KHz,002,Data Frame,1,E8
0,A,238,0:12.808.969,1 B,,250 KHz,002,Data Frame,1,E9
0,A,239,0:12.809.205,1 B,,250 KHz,002,Data Frame,1,EA
0,A,240,0:12.809.449,1 B,,250 KHz,002,Data Frame,1,EB
0,A,241,0:12.809.686,1 B,,250 KHz,002,Data Frame,1,EC
0,A,242,0:12.809.918,1 B,,250 KHz,002,Data Frame,1,ED
0,A,243,0:12.810.150,1 B,,250 KHz,002,Data Frame,1,EE
0,A,244,0:12.810.382,1 B,,250 KHz,002,Data Frame,1,EF
0,A,245,0:12.810.622,1 B,,250 KHz,002,Data Frame,1,F0
0,A,246,0:12.810.859,1 B,,250 KHz,002,Data Frame,1,F1
0,A,247,0:12.811.099,1 B,,250 KHz,002,Data Frame,1,F2
0,A,248,0:12.811.335,1 B,,250 KHz,002,Data Frame,1,F3
0,A,249,0:12.811.571,1 B,,250 KHz,002,Data Frame,1,F4
0,A,250,0:12.811.812,1 B,,250 KHz,002,Data Frame,1,F5
0,A,251,0:12.812.116,1 B,,250 KHz,002,Data Frame,1,F6
0,A,252,0:12.812.360,1 B,,250 KHz,002,Data Frame,1,F7
0,A,253,0:12.812.596,1 B,,250 KHz,002,Data Frame,1,F8
0,A,254,0:12.812.833,1 B,,250 KHz,002,Data Frame,1,F9
0,A,255,0:12.813.073,1 B,,250 KHz,002,Data Frame,1,FA
0,A,256,0:12.813.309,1 B,,250 KHz,002,Data Frame,1,FB
0,A,257,0:12.813.549,1 B,,250 KHz,002,Data Frame,1,FC
0,A,258,0:12.813.793,1 B,,250 KHz,002,Data Frame,1,FD
0,A,259,0:12.814.034,1 B,,250 KHz,002,Data Frame,1,FE
